batch_item	source_id	url	source_lang	target_lang	format	status	notes
1	178	https://iranwire.com/en/blogs/67063/	EN	EN	fact_based_digest	queued	Already in English
2	179	https://iranwire.com/en/blogs/67758/	EN	EN	fact_based_digest	queued	Already in English
3	180	https://iranwire.com/en/blogs/68597/	EN	EN	fact_based_digest	queued	Already in English
4	142	https://www.themoscowtimes.com/2022/02/14/putin-macron-talks-highlight-gap-in-russia-expertise-a76375	EN	EN	fact_based_digest	queued	Already in English
5	143	https://www.themoscowtimes.com/2021/12/10/russias-mass-protests-10-years-on-finding-hope-in-apparent-defeat-a75781	EN	EN	fact_based_digest	queued	Already in English
6	144	https://www.themoscowtimes.com/2021/08/24/the-kremlin-is-coming-for-media-one-by-one-and-society-is-helpless-to-stop-it-a74879	EN	EN	fact_based_digest	queued	Already in English
7	145	https://www.themoscowtimes.com/2021/07/12/the-magic-mirror-of-public-opinion-a74492	EN	EN	fact_based_digest	queued	Already in English
8	146	https://www.themoscowtimes.com/2021/06/18/the-hill-to-die-on-russians-intent-on-resisting-mandatory-vaccination-a74255	EN	EN	fact_based_digest	queued	Already in English
9	147	https://www.themoscowtimes.com/2021/06/07/the-dilemma-of-the-great-terror-how-to-report-roman-protasevichs-confession-a74125	EN	EN	fact_based_digest	queued	Already in English
10	148	https://www.themoscowtimes.com/2021/05/17/lets-wait-until-after-the-elections-a73915	EN	EN	fact_based_digest	queued	Already in English
11	149	https://www.themoscowtimes.com/2021/03/19/luiza-rozova-and-the-helpless-intellectual-a73301	EN	EN	fact_based_digest	queued	Already in English
12	150	https://www.themoscowtimes.com/2021/02/12/four-ways-the-kremlin-could-block-western-social-networks-in-russia-a72920	EN	EN	fact_based_digest	queued	Already in English
13	151	https://www.themoscowtimes.com/2021/01/14/the-capitol-storming-gives-russians-an-escape-from-their-reality-a72598	EN	EN	fact_based_digest	queued	Already in English
14	152	https://www.themoscowtimes.com/2020/12/18/warning-an-army-of-russian-trolls-has-invaded-tiktok-a72410	EN	EN	fact_based_digest	queued	Already in English
15	153	https://www.themoscowtimes.com/2020/11/20/why-russians-dislike-good-russians-in-american-films-no-less-than-bad-russians-a72097	EN	EN	fact_based_digest	queued	Already in English
16	154	https://www.themoscowtimes.com/2020/11/09/great-russian-literature-versus-one-tweet-by-stephen-king-a71993	EN	EN	fact_based_digest	queued	Already in English
17	155	https://www.themoscowtimes.com/2020/09/28/anonymous-telegram-channels-are-shaping-russias-reality-a71588	EN	EN	fact_based_digest	queued	Already in English
18	156	https://www.themoscowtimes.com/2020/08/14/why-do-russians-resent-western-media-over-the-protests-in-belarus-a71155	EN	EN	fact_based_digest	queued	Already in English
19	157	https://www.themoscowtimes.com/2020/07/10/russian-authorities-are-targeting-journalists-historians-and-activists-the-rest-of-us-could-be-next-a70838	EN	EN	fact_based_digest	queued	Already in English
20	158	https://www.themoscowtimes.com/2020/06/03/russians-watch-the-american-protests-as-clouds-gather-at-home-a70466	EN	EN	fact_based_digest	queued	Already in English
21	121	https://www.semnasem.org/articles/2023/09/27/ideya-vitala-v-vozduhe-soosnovatel-telegram-kanala-volna-ilya-klishin-o-tom-kak-poyavilos-media-dlya-emigrantov-iz-raznyh-stran	RU	EN	fact_based_digest	queued	Translate summary + short quote
22	105	https://adindex.ru/publication/archive_2005_2008/interviews/9514.phtml	RU	EN	fact_based_digest	queued	Translate summary + short quote
23	106	https://adindex.ru/publication/interviews/2011/06/6/66979.phtml	RU	EN	fact_based_digest	queued	Translate summary + short quote
24	124	https://ambivert.club/ilya-klishin/	RU	EN	fact_based_digest	queued	Translate summary + short quote
25	189	https://carnegie.ru/commentary/63383	RU	EN	fact_based_digest	queued	Translate summary + short quote
26	59	https://lenta.ru/news/2011/11/30/epic/	RU	EN	fact_based_digest	queued	Translate summary + short quote
27	60	https://lenta.ru/articles/2012/04/09/klishin/	RU	EN	fact_based_digest	queued	Translate summary + short quote
28	112	https://mel.fm/ucheba/uchitelya/7495680-klishin	RU	EN	fact_based_digest	queued	Translate summary + short quote
29	113	https://mel.fm/zhizn/razvlecheniya/1628439-potter	RU	EN	fact_based_digest	queued	Translate summary + short quote
30	114	https://mel.fm/vospitaniye/psikhologiya/3056879-history_hate	RU	EN	fact_based_digest	queued	Translate summary + short quote
31	115	https://mel.fm/vospitaniye/psikhologiya/8592763-essay	RU	EN	fact_based_digest	queued	Translate summary + short quote
32	116	https://mel.fm/zhizn/istorii/3029718-american	RU	EN	fact_based_digest	queued	Translate summary + short quote
33	89	https://os.colta.ru/media/net/details/33459/	RU	EN	fact_based_digest	queued	Translate summary + short quote
34	91	https://os.colta.ru/media/net/details/32317/	RU	EN	fact_based_digest	queued	Translate summary + short quote
35	92	https://os.colta.ru/media/net/details/32851/	RU	EN	fact_based_digest	queued	Translate summary + short quote
36	93	https://republic.ru/posts/18877	RU	EN	fact_based_digest	queued	Translate summary + short quote
37	94	https://republic.ru/posts/63346	RU	EN	fact_based_digest	queued	Translate summary + short quote
38	95	https://republic.ru/posts/56254	RU	EN	fact_based_digest	queued	Translate summary + short quote
39	96	https://republic.ru/posts/64976	RU	EN	fact_based_digest	queued	Translate summary + short quote
40	97	https://republic.ru/posts/63786	RU	EN	fact_based_digest	queued	Translate summary + short quote
1	178	https://iranwire.com/en/blogs/67063/	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
2	179	https://iranwire.com/en/blogs/67758/	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
3	180	https://iranwire.com/en/blogs/68597/	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
4	142	https://www.themoscowtimes.com/2022/02/14/putin-macron-talks-highlight-gap-in-russia-expertise-a76375	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
5	143	https://www.themoscowtimes.com/2021/12/10/russias-mass-protests-10-years-on-finding-hope-in-apparent-defeat-a75781	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
6	144	https://www.themoscowtimes.com/2021/08/24/the-kremlin-is-coming-for-media-one-by-one-and-society-is-helpless-to-stop-it-a74879	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
7	145	https://www.themoscowtimes.com/2021/07/12/the-magic-mirror-of-public-opinion-a74492	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
8	146	https://www.themoscowtimes.com/2021/06/18/the-hill-to-die-on-russians-intent-on-resisting-mandatory-vaccination-a74255	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
9	147	https://www.themoscowtimes.com/2021/06/07/the-dilemma-of-the-great-terror-how-to-report-roman-protasevichs-confession-a74125	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
10	148	https://www.themoscowtimes.com/2021/05/17/lets-wait-until-after-the-elections-a73915	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
11	149	https://www.themoscowtimes.com/2021/03/19/luiza-rozova-and-the-helpless-intellectual-a73301	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
12	150	https://www.themoscowtimes.com/2021/02/12/four-ways-the-kremlin-could-block-western-social-networks-in-russia-a72920	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
13	151	https://www.themoscowtimes.com/2021/01/14/the-capitol-storming-gives-russians-an-escape-from-their-reality-a72598	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
14	152	https://www.themoscowtimes.com/2020/12/18/warning-an-army-of-russian-trolls-has-invaded-tiktok-a72410	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
15	153	https://www.themoscowtimes.com/2020/11/20/why-russians-dislike-good-russians-in-american-films-no-less-than-bad-russians-a72097	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
16	154	https://www.themoscowtimes.com/2020/11/09/great-russian-literature-versus-one-tweet-by-stephen-king-a71993	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
17	155	https://www.themoscowtimes.com/2020/09/28/anonymous-telegram-channels-are-shaping-russias-reality-a71588	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
18	156	https://www.themoscowtimes.com/2020/08/14/why-do-russians-resent-western-media-over-the-protests-in-belarus-a71155	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
19	157	https://www.themoscowtimes.com/2020/07/10/russian-authorities-are-targeting-journalists-historians-and-activists-the-rest-of-us-could-be-next-a70838	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
20	158	https://www.themoscowtimes.com/2020/06/03/russians-watch-the-american-protests-as-clouds-gather-at-home-a70466	EN	FR	fact_based_digest	queued	Translate/adapt digest into French
21	121	https://www.semnasem.org/articles/2023/09/27/ideya-vitala-v-vozduhe-soosnovatel-telegram-kanala-volna-ilya-klishin-o-tom-kak-poyavilos-media-dlya-emigrantov-iz-raznyh-stran	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
22	105	https://adindex.ru/publication/archive_2005_2008/interviews/9514.phtml	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
23	106	https://adindex.ru/publication/interviews/2011/06/6/66979.phtml	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
24	124	https://ambivert.club/ilya-klishin/	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
25	189	https://carnegie.ru/commentary/63383	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
26	59	https://lenta.ru/news/2011/11/30/epic/	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
27	60	https://lenta.ru/articles/2012/04/09/klishin/	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
28	112	https://mel.fm/ucheba/uchitelya/7495680-klishin	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
29	113	https://mel.fm/zhizn/razvlecheniya/1628439-potter	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
30	114	https://mel.fm/vospitaniye/psikhologiya/3056879-history_hate	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
31	115	https://mel.fm/vospitaniye/psikhologiya/8592763-essay	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
32	116	https://mel.fm/zhizn/istorii/3029718-american	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
33	89	https://os.colta.ru/media/net/details/33459/	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
34	91	https://os.colta.ru/media/net/details/32317/	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
35	92	https://os.colta.ru/media/net/details/32851/	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
36	93	https://republic.ru/posts/18877	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
37	94	https://republic.ru/posts/63346	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
38	95	https://republic.ru/posts/56254	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
39	96	https://republic.ru/posts/64976	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
40	97	https://republic.ru/posts/63786	RU	FR	fact_based_digest	queued	Translate RU summary + short quote into French
1	178	https://iranwire.com/en/blogs/67063/	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
2	179	https://iranwire.com/en/blogs/67758/	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
3	180	https://iranwire.com/en/blogs/68597/	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
4	142	https://www.themoscowtimes.com/2022/02/14/putin-macron-talks-highlight-gap-in-russia-expertise-a76375	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
5	143	https://www.themoscowtimes.com/2021/12/10/russias-mass-protests-10-years-on-finding-hope-in-apparent-defeat-a75781	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
6	144	https://www.themoscowtimes.com/2021/08/24/the-kremlin-is-coming-for-media-one-by-one-and-society-is-helpless-to-stop-it-a74879	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
7	145	https://www.themoscowtimes.com/2021/07/12/the-magic-mirror-of-public-opinion-a74492	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
8	146	https://www.themoscowtimes.com/2021/06/18/the-hill-to-die-on-russians-intent-on-resisting-mandatory-vaccination-a74255	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
9	147	https://www.themoscowtimes.com/2021/06/07/the-dilemma-of-the-great-terror-how-to-report-roman-protasevichs-confession-a74125	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
10	148	https://www.themoscowtimes.com/2021/05/17/lets-wait-until-after-the-elections-a73915	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
11	149	https://www.themoscowtimes.com/2021/03/19/luiza-rozova-and-the-helpless-intellectual-a73301	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
12	150	https://www.themoscowtimes.com/2021/02/12/four-ways-the-kremlin-could-block-western-social-networks-in-russia-a72920	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
13	151	https://www.themoscowtimes.com/2021/01/14/the-capitol-storming-gives-russians-an-escape-from-their-reality-a72598	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
14	152	https://www.themoscowtimes.com/2020/12/18/warning-an-army-of-russian-trolls-has-invaded-tiktok-a72410	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
15	153	https://www.themoscowtimes.com/2020/11/20/why-russians-dislike-good-russians-in-american-films-no-less-than-bad-russians-a72097	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
16	154	https://www.themoscowtimes.com/2020/11/09/great-russian-literature-versus-one-tweet-by-stephen-king-a71993	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
17	155	https://www.themoscowtimes.com/2020/09/28/anonymous-telegram-channels-are-shaping-russias-reality-a71588	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
18	156	https://www.themoscowtimes.com/2020/08/14/why-do-russians-resent-western-media-over-the-protests-in-belarus-a71155	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
19	157	https://www.themoscowtimes.com/2020/07/10/russian-authorities-are-targeting-journalists-historians-and-activists-the-rest-of-us-could-be-next-a70838	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
20	158	https://www.themoscowtimes.com/2020/06/03/russians-watch-the-american-protests-as-clouds-gather-at-home-a70466	EN	DE	fact_based_digest	queued	Translate/adapt digest into German
21	121	https://www.semnasem.org/articles/2023/09/27/ideya-vitala-v-vozduhe-soosnovatel-telegram-kanala-volna-ilya-klishin-o-tom-kak-poyavilos-media-dlya-emigrantov-iz-raznyh-stran	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
22	105	https://adindex.ru/publication/archive_2005_2008/interviews/9514.phtml	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
23	106	https://adindex.ru/publication/interviews/2011/06/6/66979.phtml	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
24	124	https://ambivert.club/ilya-klishin/	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
25	189	https://carnegie.ru/commentary/63383	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
26	59	https://lenta.ru/news/2011/11/30/epic/	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
27	60	https://lenta.ru/articles/2012/04/09/klishin/	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
28	112	https://mel.fm/ucheba/uchitelya/7495680-klishin	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
29	113	https://mel.fm/zhizn/razvlecheniya/1628439-potter	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
30	114	https://mel.fm/vospitaniye/psikhologiya/3056879-history_hate	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
31	115	https://mel.fm/vospitaniye/psikhologiya/8592763-essay	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
32	116	https://mel.fm/zhizn/istorii/3029718-american	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
33	89	https://os.colta.ru/media/net/details/33459/	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
34	91	https://os.colta.ru/media/net/details/32317/	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
35	92	https://os.colta.ru/media/net/details/32851/	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
36	93	https://republic.ru/posts/18877	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
37	94	https://republic.ru/posts/63346	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
38	95	https://republic.ru/posts/56254	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
39	96	https://republic.ru/posts/64976	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
40	97	https://republic.ru/posts/63786	RU	DE	fact_based_digest	queued	Translate RU summary + short quote into German
